Title,Genre,Premiere,Runtime,IMDB Score,Language
Sturgill Simpson Presents: Sound & Fury,Animation / Musicial,27-Sep-2019,41,6.4,English
Take Your Pills,Documentary,16-Mar-2018,87,6.4,English
The Heartbreak Club,Comedy-drama,14-Jan-2021,101,6.4,Indonesian
The Mars Generation,Documentary,5-May-2017,97,6.4,English
The Occupant,Thriller,25-Mar-2020,103,6.4,Spanish
The Willoughbys,Animation/Comedy/Adventure,22-Apr-2020,90,6.4,English
Triple Frontier,Action-thriller,13-Mar-2019,125,6.4,English
Two Catalonias,Documentary,28-Sep-2018,116,6.4,Spanish/Catalan
Walk. Ride. Rodeo.,Drama,8-Mar-2019,99,6.4,English
Wheelman,Action thriller,20-Oct-2017,82,6.4,English
When We First Met,Romantic comedy,9-Feb-2018,97,6.4,English
A 3 Minute Hug,Documentary,28-Oct-2019,28,6.5,English/Spanish
All the Bright Places,Romance,28-Feb-2020,108,6.5,English
All Together Now,Drama,28-Aug-2020,93,6.5,English
Altered Carbon: Resleeved,Anime/Science fiction,19-Mar-2020,74,6.5,Japanese
Antoine Griezmann: The Making of a Legend,Documentary,21-Mar-2019,60,6.5,French
Canvas ,Animation / Short,11-Dec-2020,9,6.5,English
Chadwick Boseman: Portrait of an Artist,Documentary,17-Apr-2021,21,6.5,English
Chopsticks,Comedy,31-May-2019,100,6.5,Hindi
Da 5 Bloods,War drama,12-Jun-2020,155,6.5,English
Dolly Parton: A MusiCares Tribute,Documentary,7-Apr-2021,55,6.5,English
Eurovision Song Contest: The Story of Fire Saga,Musical comedy,26-Jun-2020,123,6.5,English
Gerald's Game,Horror thriller,29-Sep-2017,103,6.5,English
His House,Thriller,30-Oct-2020,93,6.5,English
Jingle Jangle: A Christmas Journey,Family/Christmas musical,13-Nov-2020,119,6.5,English
Life Overtakes Me,Documentary,14-Jun-2019,40,6.5,English/Swedish
Lust Stories,Drama,15-Jun-2018,120,6.5,Hindi
Monster,Drama,7-May-2021,98,6.5,English
Mowgli: Legend of the Jungle,Adventure,7-Dec-2018,104,6.5,English
Nobody Knows I'm Here,Drama,24-Jun-2020,91,6.5,Spanish
Nobody Speak: Trials of the Free Press,Documentary,23-Jun-2017,95,6.5,English
Oxygen,Science fiction thriller,12-May-2021,101,6.5,French
Set It Up,Romantic comedy,15-Jun-2018,105,6.5,English
The Incredible Jessica James,Comedy,28-Jul-2017,83,6.5,English
Tigertail,Drama,10-Apr-2020,91,6.5,English/Taiwanese/Mandarin
Tramps,Romance,21-Apr-2017,83,6.5,English
What Did Jack Do?,Drama / Short,20-Jan-2020,17,6.5,English
Bad Trip,Hidden-camera prank comedy,26-Mar-2021,86,6.6,English
Bird Box,Psychological thriller,21-Dec-2018,124,6.6,English
Bulbbul,Horror,24-Jun-2020,94,6.6,Hindi
Crazy About Her,Romantic comedy,26-Feb-2021,102,6.6,Spanish
Elisa & Marcela,Romance,7-Jun-2019,118,6.6,Spanish
I'll Sleep When I'm Dead,Documentary,19-Aug-2016,79,6.6,English
I'm Thinking of Ending Things,Psychological thriller,4-Sep-2020,134,6.6,English
It Takes a Lunatic,Documentary,25-Oct-2019,126,6.6,English
Milestone,Drama,7-May-2021,98,6.6,Hindi
Recovery Boys,Documentary,29-Jun-2018,89,6.6,English
ReMastered: Who Killed Jam Master Jay?,Documentary,7-Dec-2018,58,6.6,English
Shawn Mendes: In Wonder,Documentary,23-Nov-2020,83,6.6,English
Space Sweepers,Science fiction,5-Feb-2021,136,6.6,Korean
The American Meme,Documentary,7-Dec-2018,98,6.6,English
The Angel,Spy thriller,14-Sep-2018,114,6.6,English
The Crimes That Bind,Crime drama,20-Aug-2020,99,6.6,Spanish
The Red Sea Diving Resort,Spy thriller,31-Jul-2019,130,6.6,English
What Would Sophia Loren Do?,Documentary,15-Jan-2021,32,6.6,English
A Whisker Away,Anime/Fantasy,18-Jun-2020,104,6.7,Japanese
Ajeeb Daastaans,Drama,16-Apr-2021,142,6.7,Hindi
Arlo the Alligator Boy,Animated musical comedy,16-Apr-2021,92,6.7,English
"Bikram: Yogi, Guru, Predator",Documentary,20-Nov-2019,86,6.7,English
Blame!,Anime/Science fiction,20-May-2017,106,6.7,Japanese
Blue Miracle,Drama,27-May-2021,95,6.7,English
CounterPunch ,Documentary,16-Jun-2017,91,6.7,English
"Crack: Cocaine, Corruption & Conspiracy",Documentary,11-Jan-2021,89,6.7,English
Extraction,Action,24-Apr-2020,117,6.7,English
Giving Voice,Documentary,11-Dec-2020,90,6.7,English
Hillbilly Elegy,Drama,24-Nov-2020,117,6.7,English
Hope Frozen: A Quest to Live Twice,Documentary,15-Sep-2020,80,6.7,Thia/English
Imperial Dreams,Drama,3-Feb-2017,87,6.7,English
Just Another Christmas,Comedy,3-Dec-2020,101,6.7,Portuguese
Little Miss Sumo,Documentary,28-Oct-2019,19,6.7,Japanese
Malcolm & Marie,Romantic drama,5-Feb-2021,106,6.7,English
"Michael Bolton's Big, Sexy, Valentine's Day Special",Variety Show,7-Feb-2017,54,6.7,English
Moxie,Drama,3-Mar-2021,111,6.7,English
Night in Paradise,Drama,9-Apr-2021,132,6.7,Korean
Paper Lives,Drama,12-Mar-2021,97,6.7,Turkish
Parchis: The Documentary,Documentary,10-Jul-2019,106,6.7,Spanish
Tallulah,Comedy-drama,29-Jul-2016,111,6.7,English
The Old Guard,Superhero/Action,10-Jul-2020,124,6.7,English
Tony Robbins: I Am Not Your Guru,Documentary,July 15. 2016,116,6.7,English
Upstarts,Drama,18-Oct-2019,112,6.7,Hindi
22-Jul,Drama,10-Oct-2018,144,6.8,English
